"cname","party_name","lrgen","spendvtax","immigrate_policy"
"bul","BBT",6.0833335,41.666665,8.8000002
"cyp","EDEK",4.5,50,4
"swi","LdT",7.5,51.666665,8.375
"swi","GLP/PVL",5.25,62.5,3.8571429
"bel","cdH",4.4000001,51.999998,4.1999998
"cro","HSP-AS",9,61.666665,8.7142859
"spa","Amaiur",1.8888888,22.5,3.3333333
"spa","PSOE",3.8,25,3.5999999
"bul","ABV",3.4666667,30.666666,6.4615383
"den","RV",5.6999998,60.999999,2.5999999
"it","NCD",6.1428571,68.000002,7.5
"cze","ODS",8,81.81818,7.875
"fra","UMP",7.6666665,70.90909,7.5999999
"sle","SDS",8.6923075,79.09091,7.8000002
"cyp","EVROKO",8.5,80,6
"ire","GP",3.75,32.857144,4.1666665
"pol","KNP",9.5294113,95.294113,8.3999996
"swe","SD",7.7619047,47.058825,9.7777777
"bel","PVDA",0.40000001,2,1.8
"rom","PMP",6.4705882,70.666666,4.5999999
"den","KF",7,75,7.0999999
"spa","Podemos",1.6666666,11.428572,1.4
"cze","ANO2011",5.7857141,59.09091,5.8571429
"nor","AP",3.75,53.333335,5
"swe","MP",3.2857144,29.473684,0.55555558
"cze","KSCM",1.0714285,10.909091,6.6666665
"fin","VIHR",4.4444447,48.75,1.375
"cro","HSS",7.1111112,51.25,8
"swe","KD",7.4761906,62.105265,2.6111112
"lat","NSL",5.1428571,58.000002,6.25
"swe","FI",1.8095238,10,0.47058824
"den","SF",2.9000001,20.999999,2.8
"fin","SDP",4,36.25,4.125
"cyp","KOP",4.6666665,50,4
"rom","PLR",6.6666665,60.90909,4
"pol","SP",8.2941179,34.666667,7.4444447
"gre","XA",9.8888893,20,10
"swe","M",7.4285712,68.421054,2.6111112
"lat","SDPS",4,50,4.7142859
"lat","ZZS",5.9000001,58.571429,6.2857141
"fra","FN",9.636364,55,9.8000002
"aus","NEOS",6,74.444447,4
"ire","PBPA",0.71428573,15,5
"cyp","DISY",8.5,70,7
"den","EL",1.2,6.0000002,1.6
"fin","KOK",7.6666665,77.5,5.125
"fin","PS",5.1111112,43.75,9
"cze","SVOBODNI",8.7142859,95,7.625
"fra","MODEM",5.909091,66.666665,6.3333335
"lux","DP",7.5,20,4
"tur","HDP",2,34.285715,2.6666667
"por","PSD",6.6666665,71.666665,6.8000002
"lux","LSAP",4.5,20,5
"uk","UKIP",9.1428576,88.33333,10
"rom","PNL",6.647059,62.666669,4.1428571
"por","MPT",6.75,43.333335,7
"slo","SDKU-DS",6.8571429,72.142859,5.181818
"aus","SPO",3.9000001,25.999999,4.4444447
"swe","V",1.7142857,3.1578946,0.55555558
"est","IRL",7.75,76.25,6.5
"hun","JOBBIK",9.7142859,43.000002,9.333333
"hun","E14",3.6428571,51.81818,2.5555556
"rom","UNPR",3.4285715,36.666667,5.5999999
"cze","SZ",3.8571429,45,1.3333334
"hun","MSZP",3.4285715,37.272727,4.4545455
"ire","SF",2.125,21.428571,5.1999998
"net","PvdA",3.6666667,41.111112,4.125
"slo","SMK-MKP",6.7692308,48.333335,5
"net","CDA",6.7777777,66.666665,6.5
"slo","NOVA",7.0714288,73.333335,6.6999998
"cyp","AKEL",2,20,3
"mal","PL",5.25,42.5,7
"aus","FPO",8.6999998,55.999999,9.8888893
"mal","PN",6.25,47.5,2.3333333
"nor","H",7.25,66.666665,6.6666665
"ger","NPD",10,48.000002,9
"fra","Ens",2.5,23.75,4.8333335
"lux","ADR",7,70,3
"gre","KKE",0.66666669,8.75,2.8333333
"cze","CSSD",3.1428571,26.363637,4.3333335
"swi","SVP/UDC",8.25,81.25,8.625
"bel","PS",2.5999999,24.000001,2.8
"pol","SLD",2.7647059,30.588236,3.3333333
"spa","IU",2,10,1.6
"swe","FP",7.0476189,64.210525,2.1666667
"nor","SV",1.5,30,3
"aus","GRUNE",3,25,1.6666666
"den","LA",7.9000001,93.33333,4.0999999
"ire","FG",6.625,65.714288,6.1666665
"lith","TT",6.6153846,45.454545,6.4545455
"fra","PCF",1.75,9.0909094,3.5999999
"fra","PRV",6.1428571,63.333335,6.4000001
"ger","DieTier",2.5166116,20,4
"aus","TeamStronach",7.5999999,82.222223,7.3333335
"den","V",7,74.000001,7.6999998
"lith","LRLS",7.3333335,82.307692,3.7272727
"fin","KESK",5.5555553,57.5,5.625
"ire","Lab",4.125,41.428571,5.1666665
"ger","CDU",5.9230771,57.272725,5.7272725
"swi","EDU/UDF",8.5,55,7.625
"bel","VB",9.1999998,51.999998,9.6000004
"rom","PSD",4.1176472,36.666667,4.7142859
"slo","OLaNO",6.5,68.333335,7.3636365
"cro","HDSSB",8.4444447,51.666665,7.5
"lat","V",6.9000001,57.5,5.2857141
"sle","ZL",1,19,1.2222222
"hun","DK",3.3571429,54.545455,2.8
"it","SC",5.4285712,80,5
"swe","PIRAT",5,51.666665,1.5
"bul","SDS",7.1333332,70,5.1538463
"pol","PR",7.647059,63.75,5.625
"tur","MHP",8.6000004,55.714288,7
"cro","IDS",3.3333333,55.714288,3
"bel","PP",7.75,70,8.5
"hun","LMP",4.2857141,38.181818,3
"swi","CVP/PVC",5.5,53.75,6.125
"it","M5S",4.6666665,40,4.25
"lat","LKS",3.25,38,4.25
"swe","SAP",3.7619047,26.315789,2.3333333
"cro","HNS",4,65.555553,3
"net","VVD",7.8888888,77.777777,7.5
"gre","SYRIZA",2,17.5,2.2222223
"cro","HSP",9.25,58.000002,8.666667
"est","EK",4.25,30,5
"gre","LAOS",8.666667,57.142859,9.333333
